candidate_id,model_kind,feature_selection_mode,feature_selection_top_k,feature_selection_min_features,feature_selection_min_abs_spearman,feature_selection_min_mutual_info,feature_selection_correlation_threshold,feature_selection_lasso_alpha,robust_clip,calibration,target_transform,prediction_clip,alpha,l1_ratio,epsilon,n_components,fit_intercept,max_iter,tol
158,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.2,,,True,500000,0.0001
159,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.2,,,True,500000,0.0001
160,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.2,,,True,500000,0.0001
161,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.2,,,True,500000,0.0001
162,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.3,,,True,500000,0.0001
163,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.3,,,True,500000,0.0001
164,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.3,,,True,500000,0.0001
165,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.3,,,True,500000,0.0001
166,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.3,,,True,500000,0.0001
167,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.3,,,True,500000,0.0001
168,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.4,,,True,500000,0.0001
169,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.4,,,True,500000,0.0001
170,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.4,,,True,500000,0.0001
171,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.4,,,True,500000,0.0001
172,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.4,,,True,500000,0.0001
173,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.4,,,True,500000,0.0001
174,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.5,,,True,500000,0.0001
175,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.5,,,True,500000,0.0001
176,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.5,,,True,500000,0.0001
177,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.5,,,True,500000,0.0001
178,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.5,,,True,500000,0.0001
179,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.5,,,True,500000,0.0001
180,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.6,,,True,500000,0.0001
181,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.6,,,True,500000,0.0001
182,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.6,,,True,500000,0.0001
183,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.6,,,True,500000,0.0001
184,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.6,,,True,500000,0.0001
185,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.6,,,True,500000,0.0001
186,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.7,,,True,500000,0.0001
187,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.7,,,True,500000,0.0001
188,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.7,,,True,500000,0.0001
189,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.7,,,True,500000,0.0001
190,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.7,,,True,500000,0.0001
191,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.7,,,True,500000,0.0001
192,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.8,,,True,500000,0.0001
193,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.8,,,True,500000,0.0001
194,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.8,,,True,500000,0.0001
195,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.8,,,True,500000,0.0001
196,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.8,,,True,500000,0.0001
197,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.8,,,True,500000,0.0001
198,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.9,,,True,500000,0.0001
199,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.9,,,True,500000,0.0001
200,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.9,,,True,500000,0.0001
201,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.9,,,True,500000,0.0001
202,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.9,,,True,500000,0.0001
203,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.9,,,True,500000,0.0001
204,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.95,,,True,500000,0.0001
205,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.95,,,True,500000,0.0001
206,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.95,,,True,500000,0.0001
207,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.95,,,True,500000,0.0001
208,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.95,,,True,500000,0.0001
209,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.95,,,True,500000,0.0001
210,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.99,,,True,500000,0.0001
211,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.99,,,True,500000,0.0001
212,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.99,,,True,500000,0.0001
213,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.99,,,True,500000,0.0001
214,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.99,,,True,500000,0.0001
215,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.99,,,True,500000,0.0001
216,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0003,0.01,,,True,500000,0.0001
217,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0003,0.01,,,True,500000,0.0001
218,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0003,0.01,,,True,500000,0.0001
219,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0003,0.01,,,True,500000,0.0001
220,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0003,0.01,,,True,500000,0.0001
221,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0003,0.01,,,True,500000,0.0001
222,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0003,0.05,,,True,500000,0.0001
