feature_set,feature_order,feature,source,dtype,non_null_count,missing_pct,modeling_non_null_count,modeling_missing_pct,family,phase,window,metric,candidate_model_feature,aggregate_review_group,included_in_aggregate_plus_monitoring_full
monitoring_core_wake_pre_sleep,40,wake_q2_stress_high_fraction,monitoring core v0,float64,526,10.69609507640068,470,0.423728813559322,relative windows,wake,wake_q2,stress_high_fraction,True,,True
monitoring_core_wake_pre_sleep,41,wake_q3_hr_mean,monitoring core v0,float64,527,10.526315789473683,472,0.0,relative windows,wake,wake_q3,hr_mean,True,,True
monitoring_core_wake_pre_sleep,42,wake_q3_stress_mean,monitoring core v0,float64,526,10.69609507640068,472,0.0,relative windows,wake,wake_q3,stress_mean,True,,True
monitoring_core_wake_pre_sleep,43,wake_q3_stress_high_fraction,monitoring core v0,float64,526,10.69609507640068,472,0.0,relative windows,wake,wake_q3,stress_high_fraction,True,,True
monitoring_core_wake_pre_sleep,44,wake_q4_hr_mean,monitoring core v0,float64,540,8.31918505942275,472,0.0,relative windows,wake,wake_q4,hr_mean,True,,True
monitoring_core_wake_pre_sleep,45,wake_q4_stress_mean,monitoring core v0,float64,540,8.31918505942275,472,0.0,relative windows,wake,wake_q4,stress_mean,True,,True
monitoring_core_wake_pre_sleep,46,wake_q4_stress_high_fraction,monitoring core v0,float64,540,8.31918505942275,472,0.0,relative windows,wake,wake_q4,stress_high_fraction,True,,True
monitoring_core_wake_pre_sleep,47,pre_sleep_4h_hr_mean,monitoring core v0,float64,523,11.205432937181664,472,0.0,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,mean,True,,True
monitoring_core_wake_pre_sleep,48,pre_sleep_4h_hr_std,monitoring core v0,float64,523,11.205432937181664,472,0.0,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,std,True,,True
monitoring_core_wake_pre_sleep,49,pre_sleep_4h_hr_p90,monitoring core v0,float64,523,11.205432937181664,472,0.0,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,p90,True,,True
monitoring_core_wake_pre_sleep,50,pre_sleep_4h_hr_early_minus_late,monitoring core v0,float64,503,14.60101867572156,466,1.2711864406779663,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,early_minus_late,True,,True
monitoring_core_wake_pre_sleep,51,pre_sleep_4h_stress_mean,monitoring core v0,float64,523,11.205432937181664,472,0.0,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,mean,True,,True
monitoring_core_wake_pre_sleep,52,pre_sleep_4h_stress_std,monitoring core v0,float64,523,11.205432937181664,472,0.0,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,std,True,,True
monitoring_core_wake_pre_sleep,53,pre_sleep_4h_stress_p90,monitoring core v0,float64,523,11.205432937181664,472,0.0,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,p90,True,,True
monitoring_core_wake_pre_sleep,54,pre_sleep_4h_stress_early_minus_late,monitoring core v0,float64,503,14.60101867572156,466,1.2711864406779663,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,early_minus_late,True,,True
