column,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_constant,zero_pct,first_non_null_date,last_non_null_date,coverage_span_days,coverage_within_span_pct,example_values,min,p05,p25,median,p75,p95,max,mean,std,inferred_unit,inferred_group,notes,used_in_quality,used_in_eda,candidate_model_feature,analysis_priority
allDayStress_TOTAL_activityDuration,Int64,547,94.3103448275862,33,5.689655172413794,268,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[5580, 17100, 10140, 14940, 12120]",60.0,1860.0,5940.0,9120.0,12480.0,18707.999999999985,64320.0,9835.941499085924,6001.904366605269,,stress,,False,True,True,medium
allDayStress_TOTAL_averageStressLevel,Int64,580,100.0,0,0.0,67,False,0.0,2023-05-26,2026-02-05,987,100.0,"[50, 25, 38, 23, 26]",-1.0,-1.0,31.0,37.0,44.0,60.0,91.0,37.2051724137931,14.69944040871836,,stress,,False,True,True,medium
allDayStress_TOTAL_averageStressLevelIntensity,Int64,580,100.0,0,0.0,63,False,0.0,2023-05-26,2026-02-05,987,100.0,"[43, 18, 25, 20, 22]",-1.0,-1.0,23.0,25.0,35.0,58.049999999999955,91.0,29.52241379310345,14.700740092791332,,stress,,False,True,True,medium
allDayStress_TOTAL_highDuration,Int64,541,93.27586206896552,39,6.724137931034482,274,False,0.0,2023-05-26,2026-02-05,987,93.27586206896552,"[3120, 3660, 14400, 1200, 4860]",60.0,1380.0,5520.0,9060.0,13980.0,23520.0,47580.0,10335.194085027726,6810.251246877356,,stress,,False,True,True,medium
allDayStress_TOTAL_lowDuration,Int64,543,93.62068965517241,37,6.379310344827586,296,False,0.0,2023-05-26,2026-02-05,987,93.62068965517241,"[3660, 9660, 10740, 13800, 14640]",60.0,2538.0000000000005,8700.0,13200.0,17370.0,24234.0,34740.0,13116.353591160221,6526.697087428876,,stress,,False,True,True,medium
allDayStress_TOTAL_maxStressLevel,Int64,547,94.3103448275862,33,5.689655172413794,22,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[96, 97, 99, 90, 98]",30.0,90.0,96.5,99.0,99.0,99.0,100.0,96.94698354661791,4.821628340996758,,stress,,False,True,True,medium
allDayStress_TOTAL_mediumDuration,Int64,546,94.13793103448276,34,5.862068965517241,256,False,0.0,2023-05-26,2026-02-05,987,94.13793103448276,"[4740, 9480, 7020, 7740, 7860]",60.0,2250.0,7935.0,11100.0,14505.0,20295.0,31620.0,11413.516483516483,5262.952854555043,,stress,,False,True,True,medium
allDayStress_TOTAL_restDuration,Int64,534,92.06896551724138,46,7.931034482758621,349,False,0.0,2023-05-26,2026-02-05,987,92.06896551724138,"[3420, 41400, 31800, 44880, 44220]",60.0,4755.000000000001,25500.0,31260.0,36600.0,44141.99999999999,59160.0,29694.38202247191,10553.189637786452,,stress,,False,True,True,medium
allDayStress_TOTAL_stressDuration,Int64,547,94.3103448275862,33,5.689655172413794,369,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[11520, 22800, 32160, 22740, 27360]",120.0,12012.0,28470.0,35760.0,41220.0,52601.99999999999,72780.0,34634.917733089576,11761.764328984933,,stress,,False,True,True,medium
allDayStress_TOTAL_stressIntensityCount,Int64,547,94.3103448275862,33,5.689655172413794,359,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[249, 1070, 1066, 1127, 1193]",2.0,405.3,1026.5,1149.0,1227.0,1325.6999999999998,1399.0,1060.3930530164535,279.19457187173253,,stress,,False,True,True,medium
